STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
72,149,720300,3,1177,+18.112195,-066.488651
72,149,720300,4,1824,+18.131168,-066.470409
72,149,720400,1,691,+18.129305,-066.488864
72,149,720400,2,1223,+18.129755,-066.493904
72,149,720502,1,986,+18.116512,-066.515932
72,149,720502,2,849,+18.107652,-066.511786
72,149,720502,3,1793,+18.093254,-066.514336
72,149,720503,1,1950,+18.150534,-066.485935
72,149,720503,2,2643,+18.137397,-066.480974
72,149,720504,1,2500,+18.120350,-066.506499
72,149,720504,2,1423,+18.141033,-066.505807
72,151,950600,1,1236,+18.066085,-065.820619
72,151,950600,2,2996,+18.096941,-065.861003
72,151,950600,3,1944,+18.085697,-065.849907
72,151,950600,4,1735,+18.086715,-065.840849
72,151,950700,1,2196,+18.083885,-065.924994
72,151,950700,2,1658,+18.066827,-065.924354
72,151,950700,3,2598,+18.071939,-065.967908
72,151,950800,1,817,+18.076507,-065.896803
72,151,950800,2,1409,+18.071633,-065.897528
72,151,950800,3,2078,+18.062437,-065.909008
72,151,950900,1,1725,+18.109488,-065.883483
72,151,950900,2,2067,+18.107265,-065.910001
72,151,950900,3,1638,+18.093130,-065.891819
72,151,951000,1,1457,+18.049866,-065.873742
72,151,951000,2,1090,+18.048780,-065.877577
72,151,951100,1,1368,+18.042070,-065.873185
72,151,951100,2,1119,+18.043930,-065.880419
72,151,951200,1,1578,+18.046216,-065.902346
72,151,951200,2,1367,+18.040386,-065.894933
72,151,951200,3,1007,+18.043870,-065.903398
72,151,951300,1,1598,+18.035293,-065.868427
72,151,951300,2,1127,+18.038296,-065.848795
72,151,951300,3,2133,+18.028430,-065.842478
72,151,990000,0,0,+18.025572,-065.795004
72,153,750101,1,1565,+18.130655,-066.842310
72,153,750101,2,1593,+18.094830,-066.829796
72,153,750102,1,1559,+18.063221,-066.847197
72,153,750102,2,2312,+18.056850,-066.829285
72,153,750201,1,1735,+18.109989,-066.891696
72,153,750201,2,1840,+18.047685,-066.885655
72,153,750202,1,1432,+18.062507,-066.879789
72,153,750202,2,1790,+18.058071,-066.863088
72,153,750202,3,1618,+18.052825,-066.870603
72,153,750300,1,2293,+18.045584,-066.866109
72,153,750300,2,2051,+18.038544,-066.865651
72,153,750400,1,1024,+18.039118,-066.851389
72,153,750400,2,1105,+18.037008,-066.851768
72,153,750400,3,820,+18.037394,-066.847027
72,153,750400,4,684,+18.031462,-066.852706
72,153,750400,5,757,+18.033955,-066.846646
72,153,750501,1,1275,+18.032430,-066.864569
72,153,750501,2,2188,+18.032308,-066.871892
72,153,750501,3,1497,+18.027695,-066.865333
72,153,750502,1,567,+18.027850,-066.860423
72,153,750502,2,1525,+18.024504,-066.860126
72,153,750503,1,1432,+18.025927,-066.877703
72,153,750503,2,925,+18.025459,-066.867695
72,153,750601,1,1335,+18.016058,-066.833965
72,153,750601,2,2986,+18.017193,-066.847551
72,153,750601,3,994,+18.023187,-066.848003
72,153,750602,1,1872,+18.012677,-066.869466
72,153,750602,2,1269,+17.995131,-066.849034
